año,eleccion_tipo,recuento_tipo,padron_tipo,distrito_id,distrito_nombre,seccionprovincial_id,seccionprovincial_nombre,seccion_id,seccion_nombre,circuito_id,mesa_id,mesa_tipo,mesa_electores,cargo_nombre,votos_tipo,votos_cantidad,cargo_id,agrupacion_id,agrupacion_nombre,lista_numero,lista_nombre
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1446,NATIVOS,349,DIPUTADOS PROVINCIALES,POSITIVO,8,6,503,AVANZA LIBERTAD,2,LIBERTAD
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1446,NATIVOS,349,DIPUTADOS PROVINCIALES,POSITIVO,7,6,504,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,2,UNIDAD DE LA IZQUIERDA
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1446,NATIVOS,349,DIPUTADOS PROVINCIALES,POSITIVO,6,6,504,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,1,(R)EVOLUCIONEMOS LA IZQUIERDA
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1446,NATIVOS,349,DIPUTADOS PROVINCIALES,POSITIVO,5,6,112,UNION POR TODOS,1,UNIDAD
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1446,NATIVOS,349,DIPUTADOS PROVINCIALES,POSITIVO,43,6,506,JUNTOS,1,A
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1446,NATIVOS,349,DIPUTADOS PROVINCIALES,POSITIVO,16,6,506,JUNTOS,5,DAR EL PASO
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1446,NATIVOS,349,DIPUTADOS PROVINCIALES,POSITIVO,102,6,507,FRENTE DE TODOS,5,CELESTE Y BLANCA 2
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1446,NATIVOS,349,DIPUTADOS PROVINCIALES,POSITIVO,2,6,508,FRENTE VAMOS CON VOS,2,HAY OTRO CAMINO
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1446,NATIVOS,349,DIPUTADOS PROVINCIALES,POSITIVO,2,6,508,FRENTE VAMOS CON VOS,1,HACER OTRO CAMINO
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1446,NATIVOS,349,DIPUTADOS PROVINCIALES,POSITIVO,3,6,508,FRENTE VAMOS CON VOS,4,POR EL PROGRESO SOCIAL
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1446,NATIVOS,349,DIPUTADOS PROVINCIALES,POSITIVO,3,6,766,RENOVADOR FEDERAL,1,SOMOS RENOVADORES
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1446,NATIVOS,349,DIPUTADOS PROVINCIALES,POSITIVO,0,6,864,MOVIMIENTO ORGANIZACION DEMOCRATICA,1,CREER
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1445,NATIVOS,351,DIPUTADOS PROVINCIALES,NULOS,2,6,undefined,undefined,undefined,undefined
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1445,NATIVOS,351,DIPUTADOS PROVINCIALES,RECURRIDOS,0,6,undefined,undefined,undefined,undefined
