Año,eleccion_tipo,recuento_tipo,padron_tipo,distrito_id,distrito_nombre,seccionprovincial_id,seccionprovincial_nombre,seccion_id,seccion_nombre,circuito_id,mesa_id,mesa_electores,mesa_tipo,cargo_id,cargo_nombre,agrupacion_id,agrupacion_nombre,lista_numero,lista_nombre,votos_tipo,votos_cantidad
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000495,328,349,NATIVOS,4,GOBERNADOR         ,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A,UNIDAD,POSITIVO,6
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000495,329,350,NATIVOS,4,GOBERNADOR         ,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A,UNIDAD,POSITIVO,0
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000495,330,175,NATIVOS,4,GOBERNADOR         ,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A,UNIDAD,POSITIVO,4
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000495,9010,347,EXTRANJEROS,4,GOBERNADOR         ,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A,UNIDAD,POSITIVO,3
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000495,9011,347,EXTRANJEROS,4,GOBERNADOR         ,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A,UNIDAD,POSITIVO,4
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000496,331,350,NATIVOS,4,GOBERNADOR         ,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A,UNIDAD,POSITIVO,13
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000501,871,349,NATIVOS,4,GOBERNADOR         ,02-309,MOVIMIENTO ORGANIZACION DEMOCRATICA,A,AZUL Y BLANCO,POSITIVO,0
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000501,871,349,NATIVOS,4,GOBERNADOR         ,02-865,FRENTE PATRIOTA,A,LEALTAD,POSITIVO,0
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000501,872,351,NATIVOS,4,GOBERNADOR         ,02-309,MOVIMIENTO ORGANIZACION DEMOCRATICA,A,AZUL Y BLANCO,POSITIVO,0
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000501,872,351,NATIVOS,4,GOBERNADOR         ,02-865,FRENTE PATRIOTA,A,LEALTAD,POSITIVO,1
