agrupacion,campo_ideologico,filiacion_politica,vparty_economico,vparty_progresismo,vparty_populismo,fuente
MOVIMIENTO DE INTEGRACION Y DESARROLLO,,,,,,
MOVIMIENTO INDEPENDIENTE DE JUBILADOS Y,1,nacionalistas,-1.991,2.325,0.723,v-party propio
MOVIMIENTO INDEPENDIENTE DE JUBILADOS Y DESOCUPADOS,1,nacionalistas,-1.991,2.325,0.723,v-party propio
MOVIMIENTO PARA LA JUSTICIA SOCIAL,,,,,,
MOVIMIENTO POLÍTICO SOCIAL Y CULTURAL PROYECTO SUR,2,progresistas,-1.412,1.557,0.723,v-party propio
MOVIMIENTO POPULAR BONAERENSE,4,nacionalistas,1.579,-1.862,0.425,aprox-ivan
MOVIMIENTO POPULAR BONAERENSE (MO.PO.BO.),4,nacionalistas,1.579,-1.862,0.425,aprox-ivan
MOVIMIENTO POPULAR PARA LA RECONQUISTA,,,,,,
MOVIMIENTO POR LA JUSTICIA SOCIAL,,,,,,
MOVIMIENTO VECINALISTA PROVINCIAL,,,,,,
NUEVA CAPITAL,,,,,,
NUEVA UNION CIUDADANA (N.U.C.),,,,,,
NUEVO ENCUENTRO,2,progresistas,-1.991,1.557,0.821,v-party propio
ORG. SOC. DE LOS TRABAJADORES DE LA PLATA,1,marxistas,-1.991,2.325,0.723,v-party propio
P. HUMANISTA ECOLOGISTA,,,,,,
P. NACIONALISTA CONSTITUCIONAL,,,,,,
P. POPULAR DE LA RECONSTRUCCION - PPR,,,,,,
P. UNION Y LIBERTAD - PUL,,,,,,
PARTIDO DE LOS COMUNISTAS DE LA PCIA,2,marxistas,-1.412,1.557,0.723,v-party propio
PARTIDO DE LOS TRABAJADORES SOCIALISTAS,1,marxistas,-1.991,2.325,0.723,v-party propio
PARTIDO DEL OBRERO,1,marxistas,-1.991,2.325,0.723,v-party propio
PARTIDO DEL SOCIALISTA AUTENTICO,2,progresistas,-1.683,2.154,0.481,v-party oficial
PARTIDO DEMOCRATA CONSERVADOR,,,,,,
PARTIDO DEMOCRATA CRISTIANO,4,liberales,,,,
PARTIDO ENCUENTRO POPULAR,,,,,,
PARTIDO FRENTE PATRIOTA FEDERAL,6,nacionalistas,,,,
PARTIDO HUMANISTA,2,progresistas,-1.412,1.557,0.723,v-party propio
PARTIDO HUMANISTA ECOLOGISTA,,,,,,
PARTIDO JUSTICIALISTA,3,peronistas,-1.659,1.782,0.803,v-party oficial
PARTIDO LABORISTA,2,peronistas,,,,
PARTIDO LABORISTA DE LA PCIA.DE BS.AS.,2,peronistas,,,,
PARTIDO LIBERTARIO,6,liberales,2.641,-1.260,0.237,v-party propio
PARTIDO NACIONALISTA CONSTITUCIONAL (UNIR),5,nacionalistas,,,,
PARTIDO NUEVO BUENOS AIRES,4,otros,,,,
PARTIDO OBRERO,1,marxistas,-1.991,2.325,0.723,v-party propio
PARTIDO POLITICA OBRERA,1,marxistas,-1.991,2.325,0.723,v-party propio
PARTIDO POP.DE LA RECONSTRUCCION (P.P.R.),,,,,,
PARTIDO POPULAR DE LA RECONSTRUCCION,,,,,,
PARTIDO PROGRESO SOCIAL,3,peronistas,-0.416,0.268,0.658,v-party oficial
PARTIDO PROYECTO POPULAR,,,,,,
PARTIDO RENOVADOR DE LA PROV. DE BS AS,4,peronistas,0.376,-0.016,0.363,v-party propio
PARTIDO RENOVADOR DE LA PROVINCIA DE BUENOS,4,peronistas,0.376,-0.016,0.363,v-party propio
PARTIDO SOCIALISTA,2,progresistas,-1.683,2.154,0.481,v-party oficial
PARTIDO SOCIALISTA AUTENTICO,2,progresistas,-1.683,2.154,0.481,v-party oficial
PARTIDO SOCIALISTA DEMOCRATICO (ARI),4,otros,0.452,0.299,0.372,v-party oficial
PARTIDO TIEMPO DE TODOS,,,,,,
PARTIDO UNIDAD FEDERALISTA,4,nacionalistas,1.579,-1.862,0.425,aprox-ivan
PARTIDO UNIDAD FEDERALISTA (PA.U.FE.),4,nacionalistas,1.579,-1.862,0.425,aprox-ivan
PARTIDO UNIDAD FEDERALISTA (PAUFE),4,nacionalistas,1.579,-1.862,0.425,aprox-ivan
PATRIA GRANDE,2,progresistas,-1.991,1.557,0.821,v-party propio
POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL,4,peronistas,,,,
POLITICA OBRERA,1,marxistas,-1.991,2.325,0.723,v-party propio
PROPUESTA FEDERAL PARA EL CAMBIO,5,liberales,1.410,-0.092,0.169,aprox-ivan
PROPUESTA REPUBLICANA,5,liberales,1.401,-0.142,0.186,v-party oficial
PROYECTO SUR,2,peronistas,-1.412,1.557,0.723,v-party propio
RECREAR PARA EL CRECIMIENTO,4,radicalismo,0.039,0.874,0.354,v-party oficial
RENACER PLATENSE,,,,,,
SOCIEDAD JUSTA,4,radicalismo,0.039,0.874,0.354,aprox-ivan
UNIDAD CIUDADANA,3,peronistas,-1.662,1.533,0.67,v-party oficial
UNIDOS POR LA LIBERTAD Y EL TRABAJO,4,liberales,,,,
UNION CIVICA RADICAL,3,radicalismo,0.039,0.874,0.354,v-party oficial
UNION CON FE,4,nacionalistas,,,,
UNION DE CENTRO DEMOCRATICO,4,liberales,2.641,-1.260,0.237,v-party propio
UNION DEL CENTRO DEMOCRATICO,4,liberales,2.641,-1.260,0.237,v-party propio
UNION POPULAR,,,,,,
UNION POR LA PATRIA,3,peronistas,-0.465,1.069,0.642,v-party oficial
UNION PRO,5,liberales,1.401,-0.142,0.186,v-party oficial
UNITE POR LA LIBERTAD Y LA DIGNIDAD,6,liberales,2.641,-1.260,0.237,aprox-ivan
UNIÓN LIBERAL,6,liberales,2.641,-1.260,0.237,v-party propio
VALORES REPUBLICANOS,,,,,,
VAMOS,,,,,,
VAMOS CREANDO CIUDAD NUEVA,2,progresistas,-1.991,1.557,0.821,v-party propio
VOLUNT. P. LA INTEG. Y EL DES. AUT. - VIDA,,,,,,
VOLUNTAD PARA LA INTEGRACION Y EL,,,,,,
