anio,agrupacion,nivel,campo_ideologico,filiacion_politica,vparty_economico,vparty_progresismo,vparty_populismo
2023,LA LIBERTAD AVANZA,intendente,6,liberales,2.641,-1.260,0.237
2023,LIBER.AR,intendente,6,liberales,2.641,-1.260,0.237
2023,MOVIMIENTO DE AVANZADA SOCIALISTA,intendente,1,marxistas,-1.991,2.325,0.723
2023,MOVIMIENTO DE INTEGRACION FEDERAL (MIF),intendente,6,peronistas,,,
2023,MOVIMIENTO LIBRES DEL SUR,intendente,2,progresistas,-1.412,1.557,0.723
2023,POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL,intendente,4,peronistas,,,
2023,POLITICA OBRERA,intendente,1,marxistas,-1.991,2.325,0.723
2023,PRINCIPIOS Y VALORES,intendente,4,peronistas,-0.833,-0.748,0.529
2023,PROYECTO JOVEN,intendente,3,otros,,,
2023,TODOS POR BUENOS AIRES,intendente,3,conservadores,,,
2023,UNION POR LA PATRIA,intendente,3,peronistas,-0.465,1.069,0.642
2023,VOCACION SOCIAL,intendente,2,progresistas,,,
2023,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,presidente,1,marxistas,-1.991,2.325,0.723
2023,FRENTE LIBER.AR,presidente,6,liberales,2.641,-1.260,0.237
2023,FRENTE PATRIOTA FEDERAL,presidente,6,nacionalistas,,,
2023,HACEMOS POR NUESTRO PAIS,presidente,3,peronismo provincial,0.325,-0.492,0.334
2023,JUNTOS POR EL CAMBIO,presidente,5,liberales,1.401,-0.1415,0.186
2023,LA LIBERTAD AVANZA,presidente,6,liberales,2.641,-1.260,0.237
2023,MOVIMIENTO AL SOCIALISMO,presidente,1,marxistas,-1.991,2.325,0.723
2023,MOVIMIENTO DE ACCION VECINAL,presidente,4,otros,,,
2023,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,presidente,1,nacionalistas,,,
2023,MOVIMIENTO LIBRES DEL SUR,presidente,2,progresistas,-1.412,1.557,0.723
2023,POLITICA OBRERA,presidente,1,marxistas,-1.991,2.325,0.723
2023,PRINCIPIOS Y VALORES,presidente,4,peronistas,-0.833,-0.748,0.529
2023,PROYECTO JOVEN,presidente,3,otros,,,
2023,UNION DEL CENTRO DEMOCRATICO,presidente,4,liberales,2.365,-1.020,0.045
2023,UNION POR LA PATRIA,presidente,3,peronistas,-0.465,1.069,0.642
2025,ALIANZA ES CON VOS ES CON NOSOTROS,municipal,,,,,
2025,ALIANZA FUERZA PATRIA,municipal,3,peronistas,-0.465,1.069,0.642
2025,ALIANZA LA LIBERTAD AVANZA,municipal,6,liberales,2.641,-1.260,0.237
2025,ALIANZA NUEVOS AIRES,municipal,4,liberales,,,
2025,ALIANZA POTENCIA,municipal,4,liberales,,,
2025,ALIANZA SOMOS BUENOS AIRES,municipal,4,radicalismo,0.325,0.533,0.334
2025,ALIANZA UNION LIBERAL,municipal,6,liberales,2.641,-1.260,0.237
2025,ALIANZA UNION Y LIBERTAD,municipal,6,liberales,2.641,-1.260,0.237
2025,CONSTRUYENDO PORVENIR,municipal,,,,,
2025,FTE. DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,municipal,1,marxistas,-1.991,2.325,0.723
2025,MOVIMIENTO AVANZADA SOCIALISTA,municipal,1,marxistas,-1.991,2.325,0.723
2025,ORG. SOC. DE LOS TRABAJADORES DE LA PLATA,municipal,,,,,
2025,PARTIDO FRENTE PATRIOTA FEDERAL,municipal,6,nacionalistas,,,
2025,PARTIDO LIBERTARIO,municipal,,,,,
2025,PARTIDO POLITICA OBRERA,municipal,1,marxistas,-1.991,2.325,0.723
2025,PARTIDO TIEMPO DE TODOS,municipal,,,,,
2025,VALORES REPUBLICANOS,municipal,,,,,
2025,ALIANZA FUERZA PATRIA,nacional,3,peronistas,-0.465,1.069,0.642
2025,ALIANZA LA LIBERTAD AVANZA,nacional,6,liberales,2.641,-1.260,0.237
2025,ALIANZA NUEVOS AIRES,nacional,4,liberales,,,
2025,ALIANZA POTENCIA,nacional,4,liberales,,,
2025,ALIANZA PROVINCIAS UNIDAS,nacional,4,peronismo provincial,0.325,-0.492,0.334
