Año,eleccion_tipo,recuento_tipo,padron_tipo,distrito_id,distrito_nombre,seccionprovincial_id,seccionprovincial_nombre,seccion_id,seccion_nombre,circuito_id,mesa_id,mesa_electores,mesa_tipo,cargo_id,cargo_nombre,votos_tipo,votos_cantidad,agrupacion_id,agrupacion_nombre,lista_numero,lista_nombre
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0502 ,798,350,NATIVOS,4,GOBERNADOR/A,IMPUGNADO,0,undefined,undefined,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0502 ,854,349,NATIVOS,4,GOBERNADOR/A,IMPUGNADO,0,undefined,undefined,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0502 ,905,205,NATIVOS,4,GOBERNADOR/A,IMPUGNADO,0,undefined,undefined,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0504 ,957,351,NATIVOS,4,GOBERNADOR/A,IMPUGNADO,0,undefined,undefined,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0504 ,1008,351,NATIVOS,4,GOBERNADOR/A,IMPUGNADO,0,undefined,undefined,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0504 ,1009,351,NATIVOS,4,GOBERNADOR/A,IMPUGNADO,0,undefined,undefined,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0504A,1061,350,NATIVOS,4,GOBERNADOR/A,IMPUGNADO,0,undefined,undefined,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0505 ,1116,106,NATIVOS,4,GOBERNADOR/A,IMPUGNADO,0,undefined,undefined,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0508A,1164,350,NATIVOS,4,GOBERNADOR/A,IMPUGNADO,0,undefined,undefined,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0508C,1215,349,NATIVOS,4,GOBERNADOR/A,IMPUGNADO,0,undefined,undefined,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0508C,1216,351,NATIVOS,4,GOBERNADOR/A,IMPUGNADO,0,undefined,undefined,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0508G,1264,198,NATIVOS,4,GOBERNADOR/A,IMPUGNADO,0,undefined,undefined,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0509 ,1265,350,NATIVOS,4,GOBERNADOR/A,IMPUGNADO,0,undefined,undefined,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0517 ,1310,350,NATIVOS,4,GOBERNADOR/A,IMPUGNADO,1,undefined,undefined,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0520 ,1361,350,NATIVOS,4,GOBERNADOR/A,IMPUGNADO,0,undefined,undefined,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0502 ,817,350,NATIVOS,4,GOBERNADOR/A,POSITIVO,5,0199,NUEVO ENCUENTRO,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0504 ,980,351,NATIVOS,4,GOBERNADOR/A,POSITIVO,44,0510,FRENTE AMPLIO PROGRESISTA,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0501 ,777,349,NATIVOS,4,GOBERNADOR/A,POSITIVO,32,0510,FRENTE AMPLIO PROGRESISTA,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0472 ,71,322,NATIVOS,4,GOBERNADOR/A,POSITIVO,24,0510,FRENTE AMPLIO PROGRESISTA,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0482 ,196,350,NATIVOS,4,GOBERNADOR/A,POSITIVO,22,0047,COALICION CIVICA ARI,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,656,350,NATIVOS,4,GOBERNADOR/A,POSITIVO,6,0517,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0508D,1233,350,NATIVOS,4,GOBERNADOR/A,POSITIVO,6,0136,ALIANZA PROYECTO SUR,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0519 ,1329,349,NATIVOS,4,GOBERNADOR/A,POSITIVO,15,0199,NUEVO ENCUENTRO,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0508B,1195,350,NATIVOS,4,GOBERNADOR/A,POSITIVO,0,0136,ALIANZA PROYECTO SUR,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0502 ,804,350,NATIVOS,4,GOBERNADOR/A,POSITIVO,30,0510,FRENTE AMPLIO PROGRESISTA,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0473 ,80,349,NATIVOS,4,GOBERNADOR/A,POSITIVO,11,0136,ALIANZA PROYECTO SUR,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,639,351,NATIVOS,4,GOBERNADOR/A,POSITIVO,10,0517,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0502 ,880,350,NATIVOS,4,GOBERNADOR/A,POSITIVO,14,0517,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,undefined,undefined
