id_transicion,nivel,anio_t,anio_t_menos_2,orden,tipo_fila,fecha_inicio,fecha_fin,n_meses,periodo_intervenido,gana_oficialismo,share_oficialismo,agrupacion_oficialismo,desocupacion,emae,icc,icg,ipc,reservas,resultado_fiscal,salario_real,tc_oficial
municipal_2007_2011,municipal,2011,2007,16,trimestre,2011-08-01,2011-10-01,3,True,,,,0.07033333333333333,146.20647154459633,58.149742333333336,2.526399294535319,2.31793145654835,49282.279569892475,-6731.092392305686,3770.4498520515867,4.213666666666667
municipal_2007_2011,municipal,2011,2007,17,eleccion_t,2011-10-23,2011-10-23,,,True,45.44032655471154,PARTIDO PROGRESO SOCIAL,,,,,,,,,
municipal_2009_2013,municipal,2013,2009,0,eleccion_t_menos_2,2009-06-28,2009-06-28,,,False,20.763551954289092,PARTIDO PROGRESO SOCIAL,,,,,,,,,
municipal_2009_2013,municipal,2013,2009,1,trimestre,2009-07-01,2009-10-01,4,True,,,,0.08908690048813732,126.15783364784588,40.524469499999995,1.1787461936473846,3.0226227353796986,45442.19893201878,-546.9186834096149,2576.837134917363,3.83575
municipal_2009_2013,municipal,2013,2009,2,trimestre,2009-11-01,2010-01-01,3,True,,,,0.08348118753135166,124.96147803836043,42.09118900000001,1.1436362663904827,2.824601366742585,47545.63799586488,-261.70322242252524,2630.0998532824237,3.8153333333333332
municipal_2009_2013,municipal,2013,2009,3,trimestre,2010-02-01,2010-04-01,3,True,,,,0.08166666666666667,134.16414506850626,42.799141999999996,1.3139472405115764,3.252104563579983,47730.805043522785,1028.1243101843675,2785.548625042931,3.875
municipal_2009_2013,municipal,2013,2009,4,trimestre,2010-05-01,2010-07-01,3,True,,,,0.07766666666666666,149.15929005574017,48.112016000000004,1.636325756708781,2.3000343288705816,49382.71831998723,3382.281797248239,2881.585988184162,3.9333333333333336
municipal_2009_2013,municipal,2013,2009,5,trimestre,2010-08-01,2010-10-01,3,True,,,,0.07433333333333332,136.36041730523388,49.75397266666667,1.7527368068695068,2.323825503355703,50912.218592640886,-2384.4658273307286,3053.3184398902395,3.955666666666667
municipal_2009_2013,municipal,2013,2009,6,trimestre,2010-11-01,2011-01-01,3,True,,,,0.07333333333333332,137.05113083833032,54.755413,2.2945168018341064,2.3120439452324337,52244.439412693144,-6975.764427699815,3139.1755324348596,3.9906666666666664
municipal_2009_2013,municipal,2013,2009,7,trimestre,2011-02-01,2011-04-01,3,True,,,,0.07366666666666666,142.51584965908788,55.25189833333334,2.257762591044108,2.436092635627851,52117.14416282642,1179.3825183634224,3325.6212240374675,4.054666666666667
municipal_2009_2013,municipal,2013,2009,8,trimestre,2011-05-01,2011-07-01,3,True,,,,0.07266666666666666,156.41669629124704,56.445114,2.3455597559611,2.260815145114603,51977.76666666666,-594.0550915673153,3546.8559867998338,4.114999999999999
municipal_2009_2013,municipal,2013,2009,9,trimestre,2011-08-01,2011-10-01,3,True,,,,0.07033333333333333,146.20647154459633,58.149742333333336,2.526399294535319,2.31793145654835,49282.279569892475,-6731.092392305686,3770.4498520515867,4.213666666666667
municipal_2009_2013,municipal,2013,2009,10,trimestre,2011-11-01,2012-01-01,3,True,,,,0.06833333333333334,141.97246142384054,55.53752766666667,2.7158005237579346,2.3626168224299082,46334.846594982075,-8359.455794943278,3899.0474404340293,4.307333333333333
municipal_2009_2013,municipal,2013,2009,11,trimestre,2012-02-01,2012-04-01,3,True,,,,0.07133333333333332,141.77394016808137,48.89415366666666,2.213916301727295,2.5272076546636546,47147.26609813373,-2447.2657655345956,4118.049780032662,4.384333333333333
municipal_2009_2013,municipal,2013,2009,12,trimestre,2012-05-01,2012-07-01,3,True,,,,0.07333333333333332,151.10002835996744,44.79893366666667,1.9868289629618328,2.343805656479292,46895.533691756274,-3989.914955284656,4388.367981091783,4.527666666666667
municipal_2009_2013,municipal,2013,2009,13,trimestre,2012-08-01,2012-10-01,3,True,,,,0.07366666666666667,145.1320321538084,42.817374,1.6987469991048176,2.6381734651259814,45182.29898989899,-6432.373803027829,4511.66287036345,4.700333333333333
