año,eleccion_tipo,recuento_tipo,padron_tipo,distrito_id,distrito_nombre,seccionprovincial_id,seccionprovincial_nombre,seccion_id,seccion_nombre,circuito_id,mesa_id,mesa_tipo,mesa_electores,cargo_nombre,agrupacion_id,agrupacion_nombre,lista_numero,lista_nombre,votos_tipo,votos_cantidad,cargo_id
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1445,NATIVOS,351,CONCEJALES,255,MOVIMIENTO AL SOCIALISMO,1,PARA RENOVAR A LA IZQUIERDA,POSITIVO,1,10
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1445,NATIVOS,351,CONCEJALES,258,CORRIENTE DE PENSAMIENTO BONAERENSE,1,CORRIENTE DE PENSAMIENTO AUTENTICA,POSITIVO,0,10
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1445,NATIVOS,351,CONCEJALES,298,TODOS POR BUENOS AIRES,1,TODOS POR LA PROVINCIA,POSITIVO,2,10
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1445,NATIVOS,351,CONCEJALES,312,FRENTE PATRIOTA,2,PRIMERO LA PATRIA,POSITIVO,0,10
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1443,NATIVOS,354,CONCEJALES,undefined,undefined,undefined,undefined,NULOS,8,10
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1443,NATIVOS,354,CONCEJALES,undefined,undefined,undefined,undefined,RECURRIDOS,0,10
2021,PASO,PROVISORIO,COMANDO,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1443,NATIVOS,354,CONCEJALES,undefined,undefined,undefined,undefined,COMANDO,0,10
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1443,NATIVOS,354,CONCEJALES,undefined,undefined,undefined,undefined,BLANCOS,16,10
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1443,NATIVOS,354,CONCEJALES,undefined,undefined,undefined,undefined,IMPUGNADOS,0,10
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1443,NATIVOS,354,CONCEJALES,8,FEDERAL,2,CELESTE Y BLANCA,POSITIVO,0,10
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1443,NATIVOS,354,CONCEJALES,8,FEDERAL,3,FEDERALISMO PURO,POSITIVO,10,10
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1443,NATIVOS,354,CONCEJALES,507,FRENTE DE TODOS,5,CELESTE Y BLANCA 2,POSITIVO,42,10
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1443,NATIVOS,354,CONCEJALES,507,FRENTE DE TODOS,6,CELESTE Y BLANCA 4,POSITIVO,25,10
