id_transicion,nivel,anio_t,anio_t_menos_1,orden,tipo_fila,fecha_inicio,fecha_fin,n_meses,votantes_habilitados,votos_positivos,votos_blancos,votos_nulos,ausentismo,votos_blancos_y_nulos,participacion_pct,gana_oficialismo,share_oficialismo,agrupacion_oficialismo,n_fuerzas_viables,share_marginal_acumulado,share_oposicion_principal,share_otras_fuerzas_viables,dispersion_economico_mu,dispersion_economico_sigma2,dispersion_progresismo_mu,dispersion_progresismo_sigma2,dispersion_cobertura_share,resultado_disponible,desocupacion,emae,hacinamiento_medio,icc,icg,ipc,pct_hogares_ayuda_social_gobierno,pct_hogares_prestamo_bancario,pct_hogares_vendio_pertenencias,pct_sin_cobertura_salud,reservas,resultado_fiscal,salario_real,tasa_informalidad,tc_oficial
municipal_2009_2011,municipal,2011,2009,2,trimestre,2009-11-01,2010-01-01,3,,,,,,,,,,,,,,,,,,,,,0.08348118753135166,124.96147803836043,1.0898137131239805,42.09118900000001,1.1436362663904827,3.6975097337270224,0.046689489735559475,0.08340650223579786,0.02317456252186288,0.30503337437757816,47545.63799586488,-989.4914450501446,9958.76034349327,0.3046932381737655,3.8153333333333332
municipal_2009_2011,municipal,2011,2009,3,trimestre,2010-02-01,2010-04-01,3,,,,,,,,,,,,,,,,,,,,,0.08166666666666667,134.16414506850626,1.0952925411896786,42.799141999999996,1.3139472405115764,4.271242818264298,0.08104063201242545,0.08067770181990573,0.02853493585845043,0.32468868395335426,47730.805043522785,3836.694070066978,10447.566103457038,0.3217642866335424,3.875
municipal_2009_2011,municipal,2011,2009,4,trimestre,2010-05-01,2010-07-01,3,,,,,,,,,,,,,,,,,,,,,0.07766666666666666,149.15929005574017,1.131158595430123,48.112016000000004,1.636325756708781,3.4292757195678814,0.08887669222300898,0.07229110014630295,0.030912193472600918,0.32572391330670936,49382.71831998723,12545.44340143819,10682.222377634098,0.30102252273238217,3.9333333333333336
municipal_2009_2011,municipal,2011,2009,5,trimestre,2010-08-01,2010-10-01,3,,,,,,,,,,,,,,,,,,,,,0.07433333333333332,136.36041730523388,1.1155776453939545,49.75397266666667,1.7527368068695068,2.862283284265632,0.07090543908651466,0.09707468295340872,0.032544102604898234,0.2905614791064712,50912.218592640886,-8761.641789347232,11241.85430756253,0.24399228478127025,3.955666666666667
municipal_2009_2011,municipal,2011,2009,6,trimestre,2010-11-01,2011-01-01,3,,,,,,,,,,,,,,,,,,,,,0.07333333333333332,137.05113083833032,1.1625561838487382,54.755413,2.2945168018341064,3.009790336869367,0.07530190729295073,0.0976110462575966,0.026079487966542622,0.2780108684322942,52244.439412693144,-25594.778031436465,11499.1738292516,0.23880394654692516,3.9906666666666664
municipal_2009_2011,municipal,2011,2009,7,trimestre,2011-02-01,2011-04-01,3,,,,,,,,,,,,,,,,,,,,,0.07366666666666666,142.51584965908788,1.1996809722281403,55.25189833333334,2.257762591044108,2.9240539825350575,0.08806846014544278,0.09941452142347551,0.02855059709733815,0.2844237902584177,52117.14416282642,4294.2346862448985,12108.644856245124,0.2543902793088226,4.054666666666667
municipal_2009_2011,municipal,2011,2009,8,trimestre,2011-05-01,2011-07-01,3,,,,,,,,,,,,,,,,,,,,,0.07266666666666666,156.41669629124704,1.0984400636736769,56.445114,2.3455597559611,3.2094956506834693,0.07943141403199717,0.08914007795249856,0.02613228177387317,0.2570009293752958,51977.76666666666,-2127.909917190512,12812.250346177278,0.24912623708427528,4.114999999999999
municipal_2009_2011,municipal,2011,2009,9,trimestre,2011-08-01,2011-10-01,3,,,,,,,,,,,,,,,,,,,,,0.07033333333333333,146.20647154459633,1.0605527879457786,58.149742333333336,2.526399294535319,2.9809848044507037,0.061892999378583384,0.08477301381503315,0.030778393629708124,0.2503198866837185,49282.279569892475,-24127.317540109874,13527.781332101358,0.2548378107889306,4.213666666666667
municipal_2009_2011,municipal,2011,2009,10,eleccion_t,2011-10-23,2011-10-23,,493225,352284,28864,2941,108952,31805,77.8729788636018,True,45.44032655471154,PARTIDO PROGRESO SOCIAL,9,1.2694303459708645,12.820621998160576,40.469621101157024,-1.2470596097891966,0.607667188323319,1.674206510988695,0.4816885167559923,98.73056965402913,True,,,,,,,,,,,,,,,
municipal_2011_2013,municipal,2013,2011,0,eleccion_t_menos_1,2011-10-23,2011-10-23,,493225,352284,28864,2941,108952,31805,77.8729788636018,True,45.44032655471154,PARTIDO PROGRESO SOCIAL,9,1.2694303459708645,12.820621998160576,40.469621101157024,-1.2470596097891966,0.607667188323319,1.674206510988695,0.4816885167559923,98.73056965402913,True,,,,,,,,,,,,,,,
