anio,trimestre,sexo,tasa_actividad,tasa_empleo,tasa_desocupacion,tasa_informalidad,ingreso_ocupacion_principal_medio_todos_ocupados,ingreso_ocupacion_principal_medio_perceptores
2015,1,mujer,0.46306965989016285,0.43841548181079926,0.053240754501625874,0.31060343136515217,6119.502954270035,6119.502954270035
2015,1,varon,0.6141450210876296,0.5781730158457656,0.05857249347745062,0.25108275302318284,7384.794682978008,7384.794682978008
2015,2,mujer,0.4039576722459041,0.3823961213177714,0.05337576783294113,0.3002742612505644,6566.829070239545,6566.829070239545
2015,2,varon,0.5916283744139978,0.5719555480681534,0.03325199939122281,0.24173281691401108,8600.685629259473,8600.685629259473
2016,2,mujer,0.4588042831647829,0.42416055258113555,0.07550873401764811,0.3211464104914896,6593.971079987793,8761.321641679599
2016,2,varon,0.6254150089558235,0.5853509511028776,0.06405995583610287,0.33988049565905615,8785.830842925574,12389.707195935158
2016,3,mujer,0.4607866985658723,0.42236330343896605,0.08338651103969184,0.27767701844886794,7422.726829700514,10417.736627597904
2016,3,varon,0.5866232944990432,0.5552097686787044,0.05354974157165855,0.2950512125121778,8220.713511255235,13034.545219432619
2016,4,mujer,0.4456253936866613,0.4042301548700203,0.09289245945833109,0.37912681331147385,6703.029087657471,9701.224908444176
2016,4,varon,0.5996464159434266,0.5665653313284191,0.05516765169514239,0.30541273254183415,8445.379714883285,13809.331666506394
2017,1,mujer,0.4320383962987538,0.38911881113988367,0.0993420620170789,0.3478724703774584,5642.060948665379,10114.434897993033
2017,1,varon,0.6008790097422683,0.5616490308836899,0.06528765062937564,0.35779791804139677,6626.217967444244,12308.675995900501
2017,2,mujer,0.44557461909971446,0.3828614883795394,0.14074664047716004,0.3231863162723638,6313.576332020769,9787.306598645146
2017,2,varon,0.6199473007056119,0.5742692069051655,0.07368060760722162,0.3611339953337149,7673.707793696007,13025.57846929564
2017,3,mujer,0.4391938518213376,0.40101962368906463,0.08691885820797439,0.34296955575079263,6930.94898486623,11454.785396493065
2017,3,varon,0.6394493274280465,0.6034499307545695,0.05629749712658467,0.3648008357065576,8011.181349269467,13873.143010356878
2017,4,mujer,0.46434585450978894,0.4304864534372731,0.07291849543539326,0.3750381310219114,7715.336842603606,13656.750878812627
2017,4,varon,0.6383705447598464,0.6080656766286144,0.04747222186235517,0.37819857691046876,9042.728064051067,16707.945596735804
2018,1,mujer,0.4383069563956936,0.3921356754121259,0.10534005976826269,0.3423329343626242,9743.536662410108,13240.241412451021
2018,1,varon,0.5867604414060962,0.5532718373988007,0.05707372488684545,0.3398882369715981,11897.508383651051,18063.399548447076
2018,2,mujer,0.42749802372593537,0.37277452908782643,0.12800876635909697,0.38466501323859636,9051.879275136733,12685.270155445594
2018,2,varon,0.5944155581783577,0.5515992003998001,0.07203101801334455,0.37059869287733255,12892.219464591215,18075.389875760233
