año,mes,edad,n,icg
2014,7,2,425,1.843671
2014,7,3,509,1.7733947
2014,8,1,267,2.1796596
2014,8,2,444,1.7476141
2014,8,3,494,1.675037
2014,9,1,243,2.084183
2014,9,2,464,1.728309
2014,9,3,502,1.47754
2014,10,1,264,1.6799414
2014,10,2,440,1.8454432
2014,10,3,502,1.4434516
2014,11,1,226,1.7633626
2014,11,2,433,1.6850176
2014,11,3,544,1.4605626
2014,12,1,254,1.6620395
2014,12,2,433,1.8610227
2014,12,3,522,1.4264476
2015,1,1,238,1.7831732
2015,1,2,450,2.000176
2015,1,3,516,1.6874921
2015,2,1,229,1.7138717
2015,2,2,413,1.7816015
2015,2,3,558,1.5275081
2015,3,1,247,1.9167267
2015,3,2,405,1.9359471
2015,3,3,553,1.7834833
2015,4,1,246,1.9610777
2015,4,2,425,2.0069423
2015,4,3,529,1.7692544
2015,5,1,259,2.1722486
2015,5,2,437,2.220014
2015,5,3,506,1.9244627
2015,6,1,253,1.9588062
2015,6,2,442,2.2438207
2015,6,3,505,1.648093
2015,7,1,223,2.35207
2015,7,2,431,1.9570321
2015,7,3,555,1.963134
2015,8,1,260,1.9553803
2015,8,2,437,2.0316153
2015,8,3,509,1.7886955
2015,9,1,262,2.0447764
2015,9,2,450,1.7624646
2015,9,3,492,1.6338224
2015,10,1,233,1.9807998
2015,10,2,444,1.9024067
2015,10,3,531,1.8794835
2015,11,1,279,2.0344968
2015,11,2,443,1.9138793
2015,11,3,481,1.4098334
2015,12,1,241,1.9512098
2015,12,2,437,2.1319716
2015,12,3,525,1.4500809
2016,1,1,228,2.9312775
2016,1,2,456,3.0971282
2016,1,3,522,3.2753775
2016,2,1,233,2.768831
2016,2,2,446,2.7319613
2016,2,3,528,3.0202518
2016,3,1,234,2.9230683
2016,3,2,473,2.9010458
2016,3,3,498,3.222744
2016,4,1,231,2.648573
2016,4,2,442,2.64844
2016,4,3,535,2.8142061
2016,5,1,238,2.3195765
2016,5,2,450,2.579583
2016,5,3,513,2.8160114
2016,6,1,265,2.3113143
2016,6,2,485,2.3785002
