anio,trimestre,tramo_etario,tasa_actividad,tasa_empleo,tasa_desocupacion,tasa_informalidad,ingreso_ocupacion_principal_medio_todos_ocupados,ingreso_ocupacion_principal_medio_perceptores
2013,2,60+,0.24519494576696707,0.23720468741778603,0.03258736971183323,0.353570100409074,4788.870298190575,4788.870298190575
2013,3,10-24,0.2512263915997243,0.20745854593683577,0.17421675081264265,0.5933528522248319,2848.895868230039,2848.895868230039
2013,3,25-39,0.8320075221309855,0.7763287940549521,0.06692094313453537,0.243773850170717,4809.200765239412,4809.200765239412
2013,3,40-59,0.8549058133547963,0.8187580264302581,0.04228277122445589,0.15269326728052698,5667.3238210888485,5667.3238210888485
2013,3,60+,0.23575051298927563,0.23387665027682064,0.00794849898180385,0.22722992906911055,4285.060919083565,4285.060919083565
2013,4,10-24,0.23139429410621343,0.1903818327106235,0.17724059080196933,0.6471020054055858,3153.234451660475,3153.234451660475
2013,4,25-39,0.8319329509619251,0.7903447692014646,0.04998982395441132,0.2736115318992872,5413.821231556115,5413.821231556115
2013,4,40-59,0.841105344240488,0.8181844021624818,0.027250976628502684,0.15620981687580365,5744.375581896252,5744.375581896252
2013,4,60+,0.21639448991814733,0.21639448991814733,0.0,0.39648535564853554,4902.3776662484315,4902.3776662484315
2014,1,10-24,0.23353095389865275,0.1859151014383007,0.20389525099536182,0.6099109774253334,2999.909772885463,2999.909772885463
2014,1,25-39,0.8645624201496623,0.8099162712173754,0.06320671319813698,0.2880216136145572,5040.869148808812,5040.869148808812
2014,1,40-59,0.8404813583537105,0.8032145506497789,0.044339838514595796,0.17994078929499424,5977.520130256614,5977.520130256614
2014,1,60+,0.22585038399239268,0.2215390318395371,0.01908941696995647,0.4883054892601432,5246.72438252519,5246.72438252519
2014,2,10-24,0.25599588265568707,0.21492069433397276,0.16045253500018278,0.5539927178412889,3522.367475780995,3522.367475780995
2014,2,25-39,0.8232879694577043,0.7591926893893134,0.07785280782204336,0.2781771083510602,5686.082474226804,5686.082474226804
2014,2,40-59,0.8109414213303898,0.7672009972706854,0.05393783436039819,0.23585253705020112,6180.5653340968465,6180.5653340968465
2014,2,60+,0.16818889220756764,0.15308191721817868,0.08982147864286381,0.47149588838584494,4815.062127746971,4815.062127746971
2014,3,10-24,0.24318064611190923,0.18632353482889455,0.23380607047507243,0.5334090263979563,4010.4984554553316,4010.4984554553316
2014,3,25-39,0.8383507545720957,0.7842273798143475,0.06455934400079756,0.31540636613346257,5795.8712956363615,5795.8712956363615
2014,3,40-59,0.823845849074503,0.7816641648205088,0.0512009428722381,0.21979266020698324,6155.353917544173,6155.353917544173
2014,3,60+,0.1848955459203784,0.17473393772171855,0.0549586424490492,0.5776992013656038,6027.70223325062,6027.70223325062
2014,4,10-24,0.2125146723588621,0.17758199525952514,0.1643777190139043,0.5694232105628909,3867.476010616578,3867.476010616578
2014,4,25-39,0.8137764544942464,0.7732517904562646,0.04979827545289139,0.30207309217886563,6590.623291567803,6590.623291567803
2014,4,40-59,0.8370357352723119,0.8127783666229151,0.02898008726175245,0.1960620174368382,7072.906633873431,7072.906633873431
2014,4,60+,0.261700603045015,0.2510084297480737,0.04085650996800394,0.5320842314707346,5569.774826789839,5569.774826789839
2015,1,10-24,0.20545354314475106,0.16239618861514604,0.2095722170109727,0.4612042209807573,4810.661257382569,4810.661257382569
2015,1,25-39,0.8502502018707674,0.8106953195452161,0.046521461845607806,0.2953392693712419,6783.985255734487,6783.985255734487
2015,1,40-59,0.842422301206811,0.8230802612001984,0.02296002845473612,0.18358030108688314,7327.596942041902,7327.596942041902
2015,1,60+,0.23490787693719492,0.22331041793571557,0.04937024314676366,0.577172009441864,6800.648292475556,6800.648292475556
2015,2,10-24,0.17508302108758783,0.15054027391169428,0.14017776837204382,0.4895354226833529,5228.19124388518,5228.19124388518
2015,2,25-39,0.8100438782731776,0.7825958952583156,0.03388456323301229,0.28727452265626996,7876.723698869967,7876.723698869967
