anio,nivel,id_agrupacion,agrupacion,votos,porcentaje
2005,municipal,0033,PARTIDO NACIONALISTA CONSTITUCIONAL (UNIR),1945,0.6589958867814573
2005,municipal,0001,MOVIMIENTO DE INTEGRACION Y DESARROLLO,1267,0.4292790686643221
2005,municipal,0226,MOVIMIENTO VECINALISTA PROVINCIAL,1159,0.39268700914123855
2005,municipal,0510,FRENTE UNION POPULAR,1126,0.38150610206474084
2005,municipal,1230,FED.DEMOCRATA CRIST. DE RENOVACION FEDERAL,1070,0.3625324415712901
2005,municipal,0030,PARTIDO SOCIALISTA AUTENTICO,936,0.31713118253339023
2005,municipal,0210,MOVIMIENTO POR LA JUSTICIA SOCIAL,556,0.18838134347068908
2005,municipal,0009,PARTIDO RENOVADOR DE LA PROV. DE BS AS,529,0.1792333285899182
2005,municipal,0221,PARTIDO NUEVO BUENOS AIRES,496,0.16805242151342048
2005,municipal,0509,FRENTE POPULAR,140,0.047434151233626744
2007,provincial,0002,PARTIDO JUSTICIALISTA,0,0.0
2007,provincial,0003,UNION CIVICA RADICAL,14159,4.447103681997067
2007,provincial,0014,PARTIDO OBRERO,2119,0.6655422488983532
2007,provincial,0017,PARTIDO PROGRESO SOCIAL,0,0.0
2007,provincial,0020,UNION DE CENTRO DEMOCRATICO,6177,1.9400917751038829
2007,provincial,0023,UNION POPULAR,964,0.3027761811883023
2007,provincial,0030,PARTIDO SOCIALISTA AUTENTICO,10362,3.254529864598743
2007,provincial,0038,MOV. SOCIALISTA DE LOS TRABAJADORES,3506,1.101175613325921
2007,provincial,0041,FRENTE GRANDE,0,0.0
2007,provincial,0048,RECREAR PARA EL CRECIMIENTO,2744,0.8618442335899392
2007,provincial,0050,PARTIDO SOCIALISTA,0,0.0
2007,provincial,0060,MOVIMIENTO INDEPENDIENTE DE JUBILADOS Y DESOCUPADOS,1146,0.35993931913049215
2007,provincial,0134,FRENTE PARA LA VICTORIA,131171,41.19860421436805
2007,provincial,0135,FRENTE PTS - MAS - IZQUIERDA SOCIALISTA,2107,0.6617732507922749
2007,provincial,0199,PARTIDO UNIDAD FEDERALISTA (PA.U.FE.),5394,1.694164648682264
2007,provincial,0203,PARTIDO DE LOS COMUNISTAS DE LA PCIA,826,0.2594327029684001
2007,provincial,0240,CONVOCATORIA DE INTEGRACION CIUDADANA,0,0.0
2007,provincial,0502,SOCIEDAD JUSTA,10971,3.4458065184822244
2007,provincial,0505,UNION PRO,52357,16.444452819995792
2007,provincial,0507,FRENTE COALICION CIVICA,71106,22.333198277567863
2007,provincial,0580,FUERZA PLATENSE,0,0.0
2007,provincial,1303,VAMOS,3278,1.0295646493104305
2007,municipal,0017,PARTIDO PROGRESO SOCIAL,82711,25.75358929889184
2007,municipal,0002,PARTIDO JUSTICIALISTA,67484,21.012383120097894
2007,municipal,0507,FRENTE COALICION CIVICA,50039,15.580561895361544
2007,municipal,0041,FRENTE GRANDE,32993,10.27297665048589
2007,municipal,0505,UNION PRO,25243,7.859871778504996
2007,municipal,0003,UNION CIVICA RADICAL,13852,4.313074669248949
2007,municipal,0502,SOCIEDAD JUSTA,9939,3.09469023517653
2007,municipal,0030,PARTIDO SOCIALISTA AUTENTICO,8944,2.7848787064512415
2007,municipal,0050,PARTIDO SOCIALISTA,5658,1.7617222407313422
2007,municipal,0020,UNION DE CENTRO DEMOCRATICO,5046,1.5711647979374959
2007,municipal,0038,MOV. SOCIALISTA DE LOS TRABAJADORES,3331,1.0371680423959173
2007,municipal,0048,RECREAR PARA EL CRECIMIENTO,3229,1.005408468596943
2007,municipal,0199,PARTIDO UNIDAD FEDERALISTA (PA.U.FE.),2665,0.8297967075908494
2007,municipal,0014,PARTIDO OBRERO,2206,0.686878625495465
2007,municipal,0135,FRENTE PTS - MAS - IZQUIERDA SOCIALISTA,2027,0.6311436871619707
2007,municipal,1303,VAMOS,1917,0.596893166398371
2007,municipal,0060,MOVIMIENTO INDEPENDIENTE DE JUBILADOS Y,1137,0.35402583734739057
2007,municipal,0023,UNION POPULAR,961,0.2992250041256309
2007,municipal,0203,PARTIDO DE LOS COMUNISTAS DE LA PCIA,842,0.26217216802682747
2007,municipal,0580,FUERZA PLATENSE,639,0.198964388799457
2007,municipal,0240,CONVOCATORIA DE INTEGRACION CIUDADANA,300,0.09341051117345398
2009,provincial,0503,UNION PRO,89572,27.36092274232372
2009,provincial,0510,ACUERDO CIVICO Y SOCIAL,85199,26.025133487286634
2009,provincial,0506,FRENTE JUSTICIALISTA PARA LA VICTORIA,69510,21.23272607309116
2009,provincial,1402,FRENTE RENOVADOR PLATENSE,43434,13.267475532421832
2009,provincial,0508,NUEVO ENCUENTRO,15567,4.755140940581358
2009,provincial,0502,FRENTE DE IZQUIERDA Y LOS TRABAJADORES,6552,2.001392910817052
2009,provincial,0249,PARTIDO RENOVADOR DE LA PROVINCIA DE BUENOS,5894,1.8003983236196133
2009,provincial,1423,CONSENSO FEDERAL,2381,0.7273071612721919
2009,provincial,0257,POLITICA OBRERA,2373,0.7248634580843811
2009,provincial,0060,MOVIMIENTO INDEPENDIENTE DE JUBILADOS Y,2222,0.6787385604144521
2009,provincial,0222,VOLUNTAD PARA LA INTEGRACION Y EL,1691,0.5165377613235097
2009,provincial,0504,FRENTE ES POSIBLE,1503,0.45911073640995564
2009,provincial,0236,NUEVA UNION CIUDADANA (N.U.C.),1474,0.4502523123541414
2009,municipal,0503,UNION PRO,88391,27.21196709602739
2009,municipal,0510,ACUERDO CIVICO Y SOCIAL,83046,25.566460606359136
2009,municipal,0506,FRENTE JUSTICIALISTA PARA LA VICTORIA. (*),67445,20.763551954289092
2009,municipal,1402,FRENTE RENOVADOR PLATENSE. (*),45402,13.977415461911683
2009,municipal,0508,NUEVO ENCUENTRO,14779,4.5498485333596035
2009,municipal,0502,FRENTE DE IZQUIERDA Y LOS TRABAJADORES,6695,2.061116173681748
2009,municipal,0249,PARTIDO RENOVADOR DE LA PROVINCIA DE BUENOS,5831,1.79512597591311
2009,municipal,1423,CONSENSO FEDERAL,2596,0.7992020294066942
2009,municipal,0257,POLITICA OBRERA,2454,0.7554860478289782
2009,municipal,0060,MOVIMIENTO INDEPENDIENTE DE JUBILADOS Y,2230,0.6865256261852573
2009,municipal,0222,VOLUNTAD PARA LA INTEGRACION Y EL,1790,0.5510676550993768
2009,municipal,0504,FRENTE ES POSIBLE,1593,0.49041942713592596
2009,municipal,0236,NUEVA UNION CIUDADANA (N.U.C.),1487,0.45778637046523657
2009,municipal,0580,AGRUPACION MUNICIPAL CONFLUENCIA CIVICA,1085,0.3340270423367731
2011,nacional,0131,ALIANZA FRENTE PARA LA VICTORIA,153609,43.294776182503846
2011,nacional,0134,ALIANZA FRENTE AMPLIO PROGRESISTA,78714,22.1855816549135
2011,nacional,0137,ALIANZA UNIÓN PARA EL DESARROLLO SOCIAL,42476,11.971882592348322
2011,nacional,0133,ALIANZA COMPROMISO FEDERAL,30978,8.731165339150728
2011,nacional,0132,ALIANZA FRENTE POPULAR,27275,7.687472871887666
2011,nacional,0135,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,12654,3.566536451727462
2011,nacional,0047,COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA ARI,9092,2.5625849074684752
2011,provincial,0131,ALIANZA FRENTE PARA LA VICTORIA,150988,45.639012063561154
2011,provincial,0137,ALIANZA UNIÓN PARA EL DESARROLLO SOCIAL,61298,18.52849339995345
2011,provincial,0134,ALIANZA FRENTE AMPLIO PROGRESISTA,58629,17.721737080261523
2011,provincial,0132,ALIANZA FRENTE POPULAR,19745,5.968304058567667
2011,provincial,0160,NUEVO ENCUENTRO,16923,5.1153005613137825
2011,provincial,0135,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,13642,4.123555531374025
2011,provincial,0047,COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA ARI,9606,2.903597304968398
2011,municipal,0131,ALIANZA FRENTE PARA LA VICTORIA,160079,45.44032655471154
2011,municipal,0134,ALIANZA FRENTE AMPLIO PROGRESISTA,45165,12.820621998160576
2011,municipal,0137,ALIANZA UNIÓN PARA EL DESARROLLO SOCIAL,37390,10.613595848803806
2011,municipal,0236,FRENTE SOCIAL DE LA PCIA. BS.AS.,30037,8.52635941456325
2011,municipal,0132,ALIANZA FRENTE POPULAR,24291,6.8952890281704535
2011,municipal,0133,ALIANZA COMPROMISO FEDERAL,16610,4.714945895924879
2011,municipal,0047,COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA ARI,13177,3.740448047597961
2011,municipal,0135,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,12264,3.4812821473583813
2011,municipal,0160,NUEVO ENCUENTRO,8799,2.4977007187382907
2011,municipal,0220,PROYECTO SUR,4472,1.2694303459708645
2013,nacional,0510,FRENTE RENOVADOR,140382,36.875866851595006
2013,nacional,0501,FRENTE PARA LA VICTORIA,103224,27.11511789181692
2013,nacional,0514,FRENTE PROGRESISTA CIVICO Y SOCIAL,70580,18.540116841087713
2013,nacional,0507,UNIDOS POR LA LIBERTAD Y EL TRABAJO,31132,8.17782541083512
2013,nacional,0505,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,30672,8.056991552137182
2013,nacional,0513,UNION CON FE,4698,1.2340814525280546
2013,provincial,0510,FRENTE RENOVADOR,133030,34.58999300555655
2013,provincial,0501,FRENTE PARA LA VICTORIA,108787,28.28641335860694
2013,provincial,0514,FRENTE PROGRESISTA CIVICO Y SOCIAL,70473,18.324141750586985
2013,provincial,0507,UNIDOS POR LA LIBERTAD Y EL TRABAJO,32985,8.576643759214333
2013,provincial,0505,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,32480,8.445335434266532
2013,provincial,0511,FRENTE POPULAR DEMOCRATICO Y SOCIAL (PODEMOS),6836,1.777472691768658
2013,municipal,0510,FRENTE RENOVADOR,123696,31.4410480349345
2013,municipal,0501,FRENTE PARA LA VICTORIA,68432,17.394045071195816
2013,municipal,0514,FRENTE PROGRESISTA CIVICO Y SOCIAL,64167,16.30996741412529
2013,municipal,0349,FRENTE SOCIAL DE LA PROVINCIA DE BUENOS AIRES,43100,10.95515756617576
2013,municipal,0507,UNIDOS POR LA LIBERTAD Y EL TRABAJO,29363,7.4634870444459125
2013,municipal,0505,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,27416,6.968598604043495
2013,municipal,0348,FRENTE CIUDAD NUEVA,20258,5.149178236092542
2013,municipal,0347,ESPACIO UNION PRO,11193,2.8450366273365493
2013,municipal,0511,FRENTE POPULAR DEMOCRATICO Y SOCIAL (PODEMOS),5797,1.4734814016501365
2015,nacional,0135,ALIANZA CAMBIEMOS,163852,41.10708031650937
2015,nacional,0131,ALIANZA FRENTE PARA LA VICTORIA,119144,29.890767138821573
2015,nacional,0138,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),70553,17.700289514749194
2015,nacional,0137,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,22939,5.754920998098335
2015,nacional,0132,ALIANZA PROGRESISTAS,18494,4.639762367096674
2015,nacional,0133,ALIANZA COMPROMISO FEDERAL,3616,0.9071796647248607
2015,provincial,0145,CAMBIEMOS BUENOS AIRES,184129,46.512021501790976
2015,provincial,0131,ALIANZA FRENTE PARA LA VICTORIA,114340,28.882927396090675
2015,provincial,0138,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),61614,15.564043104624197
2015,provincial,0137,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,21991,5.55505034430147
2015,provincial,0132,ALIANZA PROGRESISTAS,13800,3.4859576531926826
2015,municipal,0145,CAMBIEMOS BUENOS AIRES,162238,41.33631265557999
2015,municipal,0131,ALIANZA FRENTE PARA LA VICTORIA,111566,28.42568977509854
2015,municipal,0138,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),62296,15.872279818488956
2015,municipal,0137,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,22608,5.760249488512878
2015,municipal,0132,ALIANZA PROGRESISTAS,19078,4.8608474761964215
2015,municipal,0301,PATRIA GRANDE,14697,3.7446207861232206
2017,nacional,0518,CAMBIEMOS BUENOS AIRES,201129,50.09739062858054
2017,nacional,0574,UNIDAD CIUDADANA,113650,28.308043320148652
2017,nacional,0511,1PAIS,36062,8.982355109645408
2017,nacional,0503,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,27649,6.886837569369028
