fecha,icg,desocupacion,salario_real,tc_oficial,reservas,ipc,icc,resultado_fiscal,emae,tasa_informalidad,pct_sin_cobertura_salud,hacinamiento_medio,pct_hogares_ayuda_social_gobierno,pct_hogares_prestamo_bancario,pct_hogares_vendio_pertenencias
2005-06-01,2.311605930328369,0.11964514734733,6374.409939416652,2.887,22559.427750824438,18.771776703609756,50.62645305555555,38227.068824125185,116.50222321492876,0.41017929052416996,0.3412176282100896,1.078920695421551,0.005834305717619603,0.13439419390411222,0.10252563461431606
2005-07-01,2.070094585418701,0.1112176719931428,6478.4148470527,2.861,24015.042964801552,19.006809984701544,50.50977159674024,26851.428535918756,107.58113926245956,0.40747106338334516,0.36089127950882494,1.1016938477294653,0.004986377640658287,0.13832848134033832,0.09918435592975786
2005-08-01,2.4206128120422363,0.1112176719931428,6640.839464637028,2.911,25079.904423647055,19.244103201188445,52.06096915005537,26520.331691449388,105.82089279310112,0.40747106338334516,0.36089127950882494,1.1016938477294653,0.004986377640658287,0.13832848134033832,0.09918435592975786
2005-09-01,2.1142659187316895,0.1112176719931428,6653.065790800932,2.91,25580.71544480843,19.607952799801694,49.92992347222221,26028.214429665604,104.89213472672316,0.40747106338334516,0.36089127950882494,1.1016938477294653,0.004986377640658287,0.13832848134033832,0.09918435592975786
2005-10-01,2.1918444633483887,0.1003549480456699,6823.149432674884,3.002,26046.71074778301,19.82867315672443,50.12257819444444,12545.973098337887,104.4606653849844,0.42173248761516735,0.34452059782426026,1.1121362433862434,0.007816093912391598,0.10601775339478302,0.0891375462150512
2005-11-01,2.422091007232666,0.1003549480456699,6885.688741697173,2.966,26500.958584641758,19.84449270449022,53.36725125,12535.97175319629,108.00375438454834,0.42173248761516735,0.34452059782426026,1.1121362433862434,0.007816093912391598,0.10601775339478302,0.0891375462150512
2005-12-01,2.2615556716918945,0.1003549480456699,6850.07097700165,3.032,27262.4058555221,20.022274288905805,51.00758333333333,12424.662473924898,110.50332389924424,0.42173248761516735,0.34452059782426026,1.1121362433862434,0.007816093912391598,0.10601775339478302,0.0891375462150512
2006-01-01,2.6323940753936768,0.1130833634825018,6840.0264232317595,3.066,19607.683778502294,20.294219848117773,57.06606801980199,22256.534293033783,106.53094787692405,0.36410774990318,0.3221745630335462,1.105666259059633,0.010902052199975023,0.15592973400491195,0.09067976522499271
2006-02-01,2.622481107711792,0.1130833634825018,6828.819192304249,3.074,20058.79893361177,20.61513067422387,56.22323111111111,21910.07212798107,104.0901370432872,0.36410774990318,0.3221745630335462,1.105666259059633,0.010902052199975023,0.15592973400491195,0.09067976522499271
2006-03-01,2.7017197608947754,0.1130833634825018,7036.878206911777,3.082,20872.66839025309,20.487067668500778,59.86164361111111,22047.030219676795,118.58827645043104,0.36410774990318,0.3221745630335462,1.105666259059633,0.010902052199975023,0.15592973400491195,0.09067976522499271
