nivel,anio,agrupacion,votos,share,es_oficialismo,vparty_economico,vparty_progresismo,distancia_economico_al_oficialismo,distancia_progresismo_al_oficialismo,distancia_euclidea_al_oficialismo
municipal,2011,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,12264,3.4812821473583813,False,-1.991,2.325,-0.30500000000000016,0.2280000000000002,0.38080047268878253
municipal,2011,NUEVO ENCUENTRO,8799,2.4977007187382907,False,-1.991,1.557,-0.30500000000000016,-0.54,0.6201814250685037
nacional,2013,FRENTE RENOVADOR,140382,36.875866851595006,False,0.376,-0.016,2.039,-2.049,2.8906611700439746
nacional,2013,FRENTE PARA LA VICTORIA,103224,27.11511789181692,True,-1.663,2.033,0.0,0.0,0.0
nacional,2013,FRENTE PROGRESISTA CIVICO Y SOCIAL,70580,18.540116841087713,False,-0.692,1.546,0.9710000000000001,-0.4869999999999999,1.0862826519833593
nacional,2013,UNIDOS POR LA LIBERTAD Y EL TRABAJO,31132,8.17782541083512,False,0.185,0.925,1.848,-1.1079999999999999,2.154708332930469
nacional,2013,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,30672,8.056991552137182,False,-1.991,2.325,-0.32800000000000007,0.29200000000000026,0.43914462310268604
provincial,2013,FRENTE RENOVADOR,133030,34.58999300555655,False,0.376,-0.016,2.039,-2.049,2.8906611700439746
provincial,2013,FRENTE PARA LA VICTORIA,108787,28.28641335860694,True,-1.663,2.033,0.0,0.0,0.0
provincial,2013,FRENTE PROGRESISTA CIVICO Y SOCIAL,70473,18.324141750586985,False,-0.692,1.546,0.9710000000000001,-0.4869999999999999,1.0862826519833593
provincial,2013,UNIDOS POR LA LIBERTAD Y EL TRABAJO,32985,8.576643759214333,False,0.185,0.925,1.848,-1.1079999999999999,2.154708332930469
provincial,2013,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,32480,8.445335434266532,False,-1.991,2.325,-0.32800000000000007,0.29200000000000026,0.43914462310268604
provincial,2013,FRENTE POPULAR DEMOCRATICO Y SOCIAL (PODEMOS),6836,1.777472691768658,False,-1.412,1.557,0.2510000000000001,-0.476,0.538123591751932
municipal,2013,FRENTE RENOVADOR,123696,31.4410480349345,False,0.376,-0.016,2.039,-2.049,2.8906611700439746
municipal,2013,FRENTE PARA LA VICTORIA,68432,17.394045071195816,True,-1.663,2.033,0.0,0.0,0.0
municipal,2013,FRENTE PROGRESISTA CIVICO Y SOCIAL,64167,16.30996741412529,False,-0.692,1.546,0.9710000000000001,-0.4869999999999999,1.0862826519833593
municipal,2013,FRENTE SOCIAL DE LA PROVINCIA DE BUENOS AIRES,43100,10.95515756617576,False,-1.663,2.033,0.0,0.0,0.0
municipal,2013,UNIDOS POR LA LIBERTAD Y EL TRABAJO,29363,7.4634870444459125,False,0.185,0.925,1.848,-1.1079999999999999,2.154708332930469
municipal,2013,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,27416,6.968598604043495,False,-1.991,2.325,-0.32800000000000007,0.29200000000000026,0.43914462310268604
municipal,2013,FRENTE CIUDAD NUEVA,20258,5.149178236092542,False,-1.991,1.557,-0.32800000000000007,-0.476,0.5780657402060773
municipal,2013,ESPACIO UNION PRO,11193,2.8450366273365493,False,1.401,-0.142,3.064,-2.175,3.757488656004167
nacional,2015,ALIANZA CAMBIEMOS,163852,41.10708031650937,False,1.427,0.001,3.0860000000000003,-1.9600000000000002,3.655816735012848
nacional,2015,ALIANZA FRENTE PARA LA VICTORIA,119144,29.890767138821573,True,-1.659,1.961,0.0,0.0,0.0
nacional,2015,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),70553,17.700289514749194,False,0.376,-0.016,2.035,-1.977,2.837208839687343
nacional,2015,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,22939,5.754920998098335,False,-1.991,2.325,-0.3320000000000001,0.3640000000000001,0.49266621560646934
nacional,2015,ALIANZA PROGRESISTAS,18494,4.639762367096674,False,-1.268,1.642,0.391,-0.3190000000000002,0.5046206495972991
provincial,2015,CAMBIEMOS BUENOS AIRES,184129,46.512021501790976,False,1.427,0.001,3.0860000000000003,-1.9600000000000002,3.655816735012848
provincial,2015,ALIANZA FRENTE PARA LA VICTORIA,114340,28.882927396090675,True,-1.659,1.961,0.0,0.0,0.0
provincial,2015,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),61614,15.564043104624197,False,0.376,-0.016,2.035,-1.977,2.837208839687343
provincial,2015,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,21991,5.55505034430147,False,-1.991,2.325,-0.3320000000000001,0.3640000000000001,0.49266621560646934
provincial,2015,ALIANZA PROGRESISTAS,13800,3.4859576531926826,False,-1.268,1.642,0.391,-0.3190000000000002,0.5046206495972991
municipal,2015,CAMBIEMOS BUENOS AIRES,162238,41.33631265557999,False,1.427,0.001,3.0860000000000003,-1.9600000000000002,3.655816735012848
municipal,2015,ALIANZA FRENTE PARA LA VICTORIA,111566,28.42568977509854,True,-1.659,1.961,0.0,0.0,0.0
municipal,2015,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),62296,15.872279818488956,False,0.376,-0.016,2.035,-1.977,2.837208839687343
municipal,2015,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,22608,5.760249488512878,False,-1.991,2.325,-0.3320000000000001,0.3640000000000001,0.49266621560646934
municipal,2015,ALIANZA PROGRESISTAS,19078,4.8608474761964215,False,-1.268,1.642,0.391,-0.3190000000000002,0.5046206495972991
municipal,2015,PATRIA GRANDE,14697,3.7446207861232206,False,-1.991,1.557,-0.3320000000000001,-0.40400000000000014,0.5229149070355521
nacional,2017,CAMBIEMOS BUENOS AIRES,201129,50.09739062858054,True,1.418,-0.055,0.0,0.0,0.0
nacional,2017,UNIDAD CIUDADANA,113650,28.308043320148652,False,-1.662,1.533,-3.08,1.5879999999999999,3.465276900912826
nacional,2017,1PAIS,36062,8.982355109645408,False,0.369,0.123,-1.049,0.178,1.063994830814511
nacional,2017,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,27649,6.886837569369028,False,-1.991,2.325,-3.409,2.3800000000000003,4.157605200112199
nacional,2017,FRENTE JUSTICIALISTA,22986,5.7253733722563735,False,-0.101,0.947,-1.519,1.002,1.819715637125757
provincial,2017,CAMBIEMOS BUENOS AIRES,203085,48.35967395885671,True,1.418,-0.055,0.0,0.0,0.0
provincial,2017,UNIDAD CIUDADANA,116809,27.81517667705687,False,-1.662,1.533,-3.08,1.5879999999999999,3.465276900912826
provincial,2017,1PAIS,37562,8.944462039257335,False,0.369,0.123,-1.049,0.178,1.063994830814511
provincial,2017,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,26516,6.314130116419453,False,-1.991,2.325,-3.409,2.3800000000000003,4.157605200112199
provincial,2017,FRENTE JUSTICIALISTA,24095,5.737628796014735,False,-0.101,0.947,-1.519,1.002,1.819715637125757
provincial,2017,PATRIA GRANDE,8290,1.974058631208224,False,-1.991,1.557,-3.409,1.6119999999999999,3.770918323167448
municipal,2017,CAMBIEMOS BUENOS AIRES,201813,48.10592155759706,True,1.418,-0.055,0.0,0.0,0.0
municipal,2017,UNIDAD CIUDADANA,114580,27.312296492641558,False,-1.662,1.533,-3.08,1.5879999999999999,3.465276900912826
municipal,2017,1PAIS,37689,8.983881502104797,False,0.369,0.123,-1.049,0.178,1.063994830814511
municipal,2017,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,26395,6.291744335165594,False,-1.991,2.325,-3.409,2.3800000000000003,4.157605200112199
municipal,2017,FRENTE JUSTICIALISTA,24958,5.949208377232919,False,-0.101,0.947,-1.519,1.002,1.819715637125757
municipal,2017,VAMOS CREANDO CIUDAD NUEVA,10349,2.4668786559813882,False,-1.991,1.557,-3.409,1.6119999999999999,3.770918323167448
nacional,2019,FRENTE DE TODOS,184952,44.2295367367827,False,-0.465,1.069,-1.866,1.2109999999999999,2.224517251000765
nacional,2019,JUNTOS POR EL CAMBIO,179632,42.95730861575841,True,1.401,-0.142,0.0,0.0,0.0
nacional,2019,CONSENSO FEDERAL,27800,6.648109354224658,False,0.073,0.34,-1.328,0.482,1.4127660811330376
nacional,2019,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,14271,3.4127758487100754,False,-1.991,2.325,-3.3920000000000003,2.467,4.194252376765138
provincial,2019,JUNTOS POR EL CAMBIO,191782,45.0026633376901,True,1.401,-0.142,0.0,0.0,0.0
provincial,2019,FRENTE DE TODOS,190780,44.76753872399139,False,-0.465,1.069,-1.866,1.2109999999999999,2.224517251000765
provincial,2019,CONSENSO FEDERAL,23091,5.418425603709431,False,0.073,0.34,-1.328,0.482,1.4127660811330376
provincial,2019,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,15291,3.5881142395877577,False,-1.991,2.325,-3.3920000000000003,2.467,4.194252376765138
municipal,2019,JUNTOS POR EL CAMBIO,205365,48.72403828359661,True,1.401,-0.142,0.0,0.0,0.0
municipal,2019,FRENTE DE TODOS,171830,40.76766488092131,False,-0.465,1.069,-1.866,1.2109999999999999,2.224517251000765
municipal,2019,CONSENSO FEDERAL,21431,5.084629145452044,False,0.073,0.34,-1.328,0.482,1.4127660811330376
municipal,2019,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,17573,4.169296251832801,False,-1.991,2.325,-3.3920000000000003,2.467,4.194252376765138
nacional,2021,JUNTOS,178843,45.80761330047999,False,1.401,-0.141,1.866,-1.21,2.2239730214191
nacional,2021,FRENTE DE TODOS,127900,32.75942441768138,True,-0.465,1.069,0.0,0.0,0.0
nacional,2021,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,29709,7.609458483384646,False,-1.991,2.325,-1.526,1.2560000000000002,1.9764139242577707
nacional,2021,AVANZA LIBERTAD,26727,6.845669557555671,False,2.641,-1.26,3.106,-2.3289999999999997,3.882200020606872
nacional,2021,FRENTE VAMOS CON VOS,17279,4.425723960227651,False,0.325,-0.492,0.79,-1.561,1.7495202199460285
nacional,2021,+ VALORES,9964,2.552110280670659,False,0.325,-0.492,0.79,-1.561,1.7495202199460285
provincial,2021,JUNTOS,183600,46.205185248566785,False,1.401,-0.141,1.866,-1.21,2.2239730214191
provincial,2021,FRENTE DE TODOS,137241,34.53837597330367,True,-0.465,1.069,0.0,0.0,0.0
provincial,2021,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,31109,7.828960282667016,False,-1.991,2.325,-1.526,1.2560000000000002,1.9764139242577707
provincial,2021,AVANZA LIBERTAD,27780,6.991176722250464,False,2.641,-1.26,3.106,-2.3289999999999997,3.882200020606872
provincial,2021,FRENTE VAMOS CON VOS,17628,4.436301773212066,False,0.325,-0.492,0.79,-1.561,1.7495202199460285
municipal,2021,JUNTOS,183044,46.07465320167037,True,1.401,-0.141,0.0,0.0,0.0
municipal,2021,FRENTE DE TODOS,137164,34.526035990001944,False,-0.465,1.069,-1.866,1.21,2.2239730214191
municipal,2021,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,31451,7.916642544119091,False,-1.991,2.325,-3.3920000000000003,2.466,4.193664268870363
