año,eleccion_tipo,recuento_tipo,padron_tipo,distrito_id,distrito_nombre,seccionprovincial_id,seccionprovincial_nombre,seccion_id,seccion_nombre,circuito_id,circuito_nombre,mesa_id,mesa_tipo,mesa_electores,cargo_id,cargo_nombre,agrupacion_id,agrupacion_nombre,votos_tipo,votos_cantidad
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,718,NATIVOS,348,7,INTENDENTE/A,20136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,11
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,718,NATIVOS,348,7,INTENDENTE/A,undefined,undefined,EN BLANCO,25
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,718,NATIVOS,348,7,INTENDENTE/A,undefined,undefined,NULO,0
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,718,NATIVOS,348,7,INTENDENTE/A,undefined,undefined,IMPUGNADO,0
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,718,NATIVOS,348,7,INTENDENTE/A,undefined,undefined,RECURRIDO,0
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,718,NATIVOS,348,7,INTENDENTE/A,undefined,undefined,COMANDO,0
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,719,NATIVOS,350,7,INTENDENTE/A,20134,UNION POR LA PATRIA,POSITIVO,99
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,719,NATIVOS,350,7,INTENDENTE/A,20132,JUNTOS POR EL CAMBIO,POSITIVO,77
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,719,NATIVOS,350,7,INTENDENTE/A,20135,LA LIBERTAD AVANZA,POSITIVO,64
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,719,NATIVOS,350,7,INTENDENTE/A,20136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,9
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,719,NATIVOS,350,7,INTENDENTE/A,undefined,undefined,EN BLANCO,16
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,719,NATIVOS,350,7,INTENDENTE/A,undefined,undefined,NULO,2
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,719,NATIVOS,350,7,INTENDENTE/A,undefined,undefined,IMPUGNADO,0
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,719,NATIVOS,350,7,INTENDENTE/A,undefined,undefined,RECURRIDO,0
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,719,NATIVOS,350,7,INTENDENTE/A,undefined,undefined,COMANDO,0
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,720,NATIVOS,350,7,INTENDENTE/A,20134,UNION POR LA PATRIA,POSITIVO,100
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,720,NATIVOS,350,7,INTENDENTE/A,20132,JUNTOS POR EL CAMBIO,POSITIVO,69
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,720,NATIVOS,350,7,INTENDENTE/A,20135,LA LIBERTAD AVANZA,POSITIVO,55
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,720,NATIVOS,350,7,INTENDENTE/A,20136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,12
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,720,NATIVOS,350,7,INTENDENTE/A,undefined,undefined,EN BLANCO,25
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,720,NATIVOS,350,7,INTENDENTE/A,undefined,undefined,IMPUGNADO,0
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,720,NATIVOS,350,7,INTENDENTE/A,undefined,undefined,RECURRIDO,0
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,720,NATIVOS,350,7,INTENDENTE/A,undefined,undefined,COMANDO,0
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,721,NATIVOS,349,7,INTENDENTE/A,20134,UNION POR LA PATRIA,POSITIVO,107
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,721,NATIVOS,349,7,INTENDENTE/A,20132,JUNTOS POR EL CAMBIO,POSITIVO,81
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,721,NATIVOS,349,7,INTENDENTE/A,20135,LA LIBERTAD AVANZA,POSITIVO,63
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,721,NATIVOS,349,7,INTENDENTE/A,20136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,10
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,721,NATIVOS,349,7,INTENDENTE/A,undefined,undefined,EN BLANCO,26
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,721,NATIVOS,349,7,INTENDENTE/A,undefined,undefined,NULO,1
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,721,NATIVOS,349,7,INTENDENTE/A,undefined,undefined,IMPUGNADO,0
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,721,NATIVOS,349,7,INTENDENTE/A,undefined,undefined,RECURRIDO,0
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,721,NATIVOS,349,7,INTENDENTE/A,undefined,undefined,COMANDO,0
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,722,NATIVOS,351,7,INTENDENTE/A,20134,UNION POR LA PATRIA,POSITIVO,105
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,722,NATIVOS,351,7,INTENDENTE/A,20135,LA LIBERTAD AVANZA,POSITIVO,54
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,722,NATIVOS,351,7,INTENDENTE/A,20132,JUNTOS POR EL CAMBIO,POSITIVO,52
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,722,NATIVOS,351,7,INTENDENTE/A,20136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,12
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,722,NATIVOS,351,7,INTENDENTE/A,undefined,undefined,EN BLANCO,19
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,722,NATIVOS,351,7,INTENDENTE/A,undefined,undefined,NULO,0
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,722,NATIVOS,351,7,INTENDENTE/A,undefined,undefined,IMPUGNADO,0
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,722,NATIVOS,351,7,INTENDENTE/A,undefined,undefined,RECURRIDO,0
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,722,NATIVOS,351,7,INTENDENTE/A,undefined,undefined,COMANDO,0
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,723,NATIVOS,353,7,INTENDENTE/A,20134,UNION POR LA PATRIA,POSITIVO,111
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,723,NATIVOS,353,7,INTENDENTE/A,20132,JUNTOS POR EL CAMBIO,POSITIVO,87
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,723,NATIVOS,353,7,INTENDENTE/A,20135,LA LIBERTAD AVANZA,POSITIVO,50
2023,GENERAL,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497E,0497E,723,NATIVOS,353,7,INTENDENTE/A,20136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,7
